video,swing_id,start_frame,end_frame,duration_s,peak_speed_mps,peak_angular_velocity_rps,mean_angular_velocity_rps,swing_angle_deg,smoothness_score,time_series
cricket_swing.mp4,0,23,28,0.0833,4.2656,2.5137,1.5723,6.1022,0.1246,"{'time_s': array([          0,    0.016667,    0.033333,        0.05,    0.066667]), 'speed_mps': array([     2.2327,      3.2803,      4.1246,      4.2656,       3.818]), 'angle_deg': array([     145.01,      144.23,      142.89,       141.1,      138.91]), 'angular_velocity_rps': array([   -0.51322,     -1.1115,     -1.6396,     -2.0836,     -2.5137])}"
cricket_swing.mp4,1,89,106,0.2833,10.2315,5.8378,2.7360,43.2808,0.3969,"{'time_s': array([          0,    0.016667,    0.033333,        0.05,    0.066667,    0.083333,         0.1,     0.11667,     0.13333,        0.15,     0.16667,     0.18333,         0.2,     0.21667,     0.23333,        0.25,     0.26667]), 'speed_mps': array([     2.1241,      2.5622,      3.0044,      3.4432,      3.4797,      3.0238,      2.9245,      3.4471,      4.7798,      7.0203,      8.9659,      9.9013,      10.231,      9.7536,      8.0095,      5.8492,      4.2332]), 'angle_deg': array([     129.08,      127.51,       125.7,       123.8,      121.71,      119.51,      116.84,      116.67,      114.28,       110.2,      105.24,      99.336,      94.086,      89.994,      87.316,      85.922,      85.804]), 'angular_velocity_rps': array([    -1.5316,     -1.7698,     -1.9394,     -2.0939,     -2.2478,     -2.5461,     -1.4884,     -1.3414,      -3.389,     -4.7363,     -5.6866,     -5.8378,     -4.8914,     -3.5447,      -2.132,    -0.79177,     0.54469])}"
cricket_swing.mp4,2,132,140,0.1333,10.2382,4.8144,3.1262,22.3055,0.3000,"{'time_s': array([          0,    0.016667,    0.033333,        0.05,    0.066667,    0.083333,         0.1,     0.11667]), 'speed_mps': array([      2.078,      4.5249,      7.4016,      9.5707,      10.238,      9.7465,      8.5111,      6.3523]), 'angle_deg': array([     88.651,      89.281,      91.133,      93.868,       97.59,      101.76,      106.64,      110.96]), 'angular_velocity_rps': array([   0.018981,      1.2993,      2.4017,      3.3812,      4.1334,      4.7399,      4.8144,      4.2204])}"
cricket_swing.mp4,3,419,443,0.4000,9.6559,4.8766,2.0798,47.5742,0.2605,"{'time_s': array([          0,    0.016667,    0.033333,        0.05,    0.066667,    0.083333,         0.1,     0.11667,     0.13333,        0.15,     0.16667,     0.18333,         0.2,     0.21667,     0.23333,        0.25,     0.26667,     0.28333,         0.3,     0.31667,     0.33333,        0.35,     0.36667,     0.38333]), 'speed_mps': array([     2.3144,      2.6772,      2.8402,      2.8488,      2.8931,      3.0622,      3.3425,      3.5268,      3.4601,      3.4624,       3.406,      3.4042,      4.4295,      5.3443,      5.4651,      5.5719,      5.4738,      6.1572,      8.2532,      9.6559,      9.1707,      8.2273,      7.5672,       5.802]), 'angle_deg': array([     139.24,      138.23,      137.11,      135.67,      134.61,      133.37,      132.77,       131.6,      131.13,       130.2,      128.44,      126.99,      124.79,       124.4,      119.73,      115.44,      114.37,      111.05,      107.16,      102.24,      97.846,      94.683,       92.42,       91.67]), 'angular_velocity_rps': array([    -1.0142,     -1.1163,     -1.3386,     -1.3102,      -1.206,    -0.96522,    -0.92781,    -0.85667,    -0.73111,       -1.41,     -1.6802,      -1.909,     -1.3557,      -2.652,      -4.694,     -2.8023,     -2.2944,     -3.7777,     -4.6163,     -4.8766,     -3.9554,     -2.8412,     -1.5776,   0.0071812])}"
cricket_swing.mp4,4,448,456,0.1333,11.2529,5.2060,3.7593,26.8035,0.3014,"{'time_s': array([          0,    0.016667,    0.033333,        0.05,    0.066667,    0.083333,         0.1,     0.11667]), 'speed_mps': array([     2.5144,      6.1554,      9.1951,      10.811,      11.253,      10.562,       8.244,      5.1036]), 'angle_deg': array([     90.092,      91.634,      94.483,       98.16,      102.88,       108.1,      112.77,       116.9]), 'angular_velocity_rps': array([    0.93181,      2.2994,      3.4168,       4.395,       5.206,      5.1779,      4.6036,      4.0441])}"
cricket_swing.mp4,5,459,475,0.2667,3.9537,1.8588,1.4490,20.3647,0.4587,"{'time_s': array([          0,    0.016667,    0.033333,        0.05,    0.066667,    0.083333,         0.1,     0.11667,     0.13333,        0.15,     0.16667,     0.18333,         0.2,     0.21667,     0.23333,        0.25]), 'speed_mps': array([     2.3233,       2.759,      2.8126,      2.9997,      3.3031,      3.7011,      3.9537,      3.8695,      3.5118,       3.056,       2.663,      2.4287,      2.2557,      2.1835,      2.2227,      2.1848]), 'angle_deg': array([     120.91,      122.49,      123.67,      125.45,      127.01,      128.49,       130.3,      131.62,      133.24,      134.37,      135.67,       137.1,      137.92,      139.17,      140.05,      141.27]), 'angular_velocity_rps': array([     1.8588,      1.4462,      1.5492,      1.7496,      1.5914,      1.7207,      1.6401,      1.5404,      1.4433,      1.2728,      1.4263,      1.1785,      1.0865,      1.1129,      1.0998,      1.4677])}"
cricket_swing.mp4,6,772,782,0.1667,10.4902,19.7499,9.1644,19.4602,0.4169,"{'time_s': array([          0,    0.016667,    0.033333,        0.05,    0.066667,    0.083333,         0.1,     0.11667,     0.13333,        0.15]), 'speed_mps': array([     2.3011,       5.633,      8.3653,      10.257,       10.49,      8.0246,      4.1175,      4.2596,      6.3599,      5.1071]), 'angle_deg': array([     166.47,      168.88,      173.12,      179.76,     -171.25,     -156.41,     -143.18,     -148.11,     -158.15,     -174.07]), 'angular_velocity_rps': array([     1.5717,      3.4817,      5.6944,      8.1868,      12.482,      14.698,      4.3439,     -7.8416,     -13.594,      -19.75])}"
cricket_swing.mp4,7,978,1009,0.5167,8.7801,2.3788,0.5831,7.2174,0.2502,"{'time_s': array([          0,    0.016667,    0.033333,        0.05,    0.066667,    0.083333,         0.1,     0.11667,     0.13333,        0.15,     0.16667,     0.18333,         0.2,     0.21667,     0.23333,        0.25,     0.26667,     0.28333,         0.3,     0.31667,     0.33333,        0.35,     0.36667,     0.38333,
               0.4,     0.41667,     0.43333,        0.45,     0.46667,     0.48333,         0.5]), 'speed_mps': array([     5.2458,      7.6439,      7.0258,      4.4517,      2.8722,      3.2252,      4.0047,      4.1927,      5.2407,      7.3408,      8.7801,      7.8816,      4.3558,      2.2668,      2.9736,       2.719,      2.3215,      2.2623,      2.2466,      2.2912,      2.2886,      2.2127,       2.173,      2.2044,
            2.3588,      2.4985,      2.4261,      2.2354,      2.0821,      2.0451,      2.0665]), 'angle_deg': array([    -12.513,     -10.408,     -8.6336,     -7.3991,     -7.4325,      -6.815,     -5.9346,     -5.0564,     -4.3933,     -4.2396,     -2.9449,     -1.4005,    -0.89231,     -0.9879,      -1.847,     -2.0901,     -2.3005,     -2.4838,     -2.6809,     -2.8981,     -3.1385,     -3.4363,     -3.7171,     -3.9294,
           -4.1994,     -4.3922,     -4.5928,     -4.7894,     -4.9534,     -5.1067,     -5.2961]), 'angular_velocity_rps': array([     2.3788,      2.0315,      1.5753,     0.62887,     0.30582,     0.78431,     0.92078,       0.807,      0.4277,      0.7584,      1.4865,      1.0747,     0.21605,    -0.49989,    -0.57712,    -0.23745,    -0.20614,    -0.19917,    -0.21694,    -0.23959,     -0.2818,    -0.30298,    -0.25817,    -0.25251,
          -0.24233,    -0.20596,    -0.20796,    -0.18881,    -0.16611,    -0.17943,    -0.21724])}"
cricket_swing.mp4,8,1034,1039,0.0833,9.7647,1.0305,0.8648,3.5406,0.0557,"{'time_s': array([          0,    0.016667,    0.033333,        0.05,    0.066667]), 'speed_mps': array([     4.4159,      6.9234,      8.5543,      9.7647,      9.1273]), 'angle_deg': array([    -5.6651,     -4.9757,     -4.0324,     -3.0077,     -2.1245]), 'angular_velocity_rps': array([    0.58903,      0.8549,      1.0305,     0.99896,     0.85072])}"
cricket_swing.mp4,9,1041,1047,0.1000,10.1934,1.3817,1.0845,5.1152,0.1532,"{'time_s': array([          0,    0.016667,    0.033333,        0.05,    0.066667,    0.083333]), 'speed_mps': array([     5.7952,      9.4179,      10.193,      9.1871,      7.5845,      5.5592]), 'angle_deg': array([    -1.1344,     -2.3447,     -3.3369,      -4.381,     -5.3706,     -6.2495]), 'angular_velocity_rps': array([    -1.3817,     -1.1533,     -1.0662,     -1.0648,    -0.97836,    -0.86256])}"
cricket_swing.mp4,10,1050,1057,0.1167,8.5260,0.9909,0.7443,4.6511,0.2328,"{'time_s': array([          0,    0.016667,    0.033333,        0.05,    0.066667,    0.083333,         0.1]), 'speed_mps': array([     2.4824,      4.6637,      6.8992,      8.2969,       8.526,      7.6465,      5.1729]), 'angle_deg': array([    -7.0391,     -6.5538,     -5.7839,      -4.861,     -3.8914,     -3.0383,      -2.388]), 'angular_velocity_rps': array([     0.3591,     0.65725,     0.88638,     0.99087,     0.95434,     0.78718,     0.57476])}"
cricket_swing.mp4,11,1170,1177,0.1167,8.7267,1.0441,0.8177,5.0321,0.2763,"{'time_s': array([          0,    0.016667,    0.033333,        0.05,    0.066667,    0.083333,         0.1]), 'speed_mps': array([     2.3301,      5.4024,       7.782,      8.7267,      8.6809,      7.6692,      5.2684]), 'angle_deg': array([    -4.0424,     -4.5294,     -5.3065,     -6.2509,     -7.2573,      -8.245,     -9.0745]), 'angular_velocity_rps': array([   -0.35803,    -0.66189,    -0.90139,     -1.0214,     -1.0441,    -0.95152,    -0.78575])}"
cricket_swing.mp4,12,1301,1306,0.0833,3.0459,0.6043,0.5462,2.0766,0.0713,"{'time_s': array([          0,    0.016667,    0.033333,        0.05,    0.066667]), 'speed_mps': array([     2.5061,      2.9408,      3.0459,      2.9352,      2.7689]), 'angle_deg': array([    -9.0219,     -8.5392,     -8.0458,      -7.509,     -6.9453]), 'angular_velocity_rps': array([    0.49977,     0.51107,     0.53945,     0.57622,     0.60431])}"
cricket_swing.mp4,13,1393,1415,0.3667,73.1046,4.0439,1.4417,5.1095,0.3400,"{'time_s': array([          0,    0.016667,    0.033333,        0.05,    0.066667,    0.083333,         0.1,     0.11667,     0.13333,        0.15,     0.16667,     0.18333,         0.2,     0.21667,     0.23333,        0.25,     0.26667,     0.28333,         0.3,     0.31667,     0.33333,        0.35]), 'speed_mps': array([     23.546,      55.281,       73.06,      67.463,        43.9,       10.71,        25.9,      57.607,      73.105,      66.965,      41.176,      10.025,      7.8524,      10.175,      4.7261,      3.5194,      7.9488,       10.44,      11.585,      11.284,      9.6565,      6.3259]), 'angle_deg': array([    -1.8126,     -2.4207,     -4.1732,      -7.631,     -11.699,      -14.39,     -13.441,     -9.6823,     -5.7181,     -2.7364,     -1.7786,     -1.4383,     -1.5908,     -1.7762,     -2.1223,     -1.8895,     -1.2023,    -0.27578,     0.75152,      1.7493,      2.6095,      3.2969]), 'angular_velocity_rps': array([  -0.037676,      -1.236,     -2.7281,     -3.9406,     -3.5392,    -0.91221,      2.4651,      4.0439,      3.6368,      2.0627,     0.67971,    0.098338,     -0.1769,    -0.27831,    -0.05933,     0.48172,     0.84492,       1.023,      1.0603,     0.97282,      0.8103,     0.62942])}"
